session,video,segment,text,label,annotation
Session1,Ses01F_impro02,Ses01F_impro02_F018,And your mother is close by.,3,neu
Session1,Ses01F_impro02,Ses01F_impro02_F019,I'll send you lots of letters.,1,sad
Session1,Ses01F_impro02,Ses01F_impro02_F020,And I want lots and lots and lots of pictures.,1,sad
Session1,Ses01F_impro03,Ses01F_impro03_M000,So what's up? What's new?,3,neu
Session1,Ses01F_impro03,Ses01F_impro03_F000,Well Vegas was awesome.,2,hap
Session1,Ses01F_impro03,Ses01F_impro03_M001,Yeah. I heard.,3,neu
Session1,Ses01F_impro03,Ses01F_impro03_F001,"And, um, I got married.",2,hap
Session1,Ses01F_impro03,Ses01F_impro03_F002,Yeah. In the old town part.,2,hap
Session1,Ses01F_impro03,Ses01F_impro03_M003,Who did you marry?,2,exc
Session1,Ses01F_impro03,Ses01F_impro03_F004,Um- Yes. It was very romantic.,2,hap
Session1,Ses01F_impro03,Ses01F_impro03_F005,It was at the slot machines.,2,hap
Session1,Ses01F_impro03,Ses01F_impro03_F006,"Uhuh, uhuh. He won big and he-and he realized that the only thing that would make it better was me as his bride.",2,hap
Session1,Ses01F_impro03,Ses01F_impro03_M006,He turned to you and was like...,3,neu
Session1,Ses01F_impro03,Ses01F_impro03_M007,[LAUGHTER] That's really romantic.,2,hap
Session1,Ses01F_impro03,Ses01F_impro03_F008,"Yeah. Well. You know, because he's leaving the next day.",2,hap
Session1,Ses01F_impro03,Ses01F_impro03_M008,Yeah.,3,neu
Session1,Ses01F_impro03,Ses01F_impro03_F009,But we're going to have a honeymoon cruise.,2,hap
Session1,Ses01F_impro03,Ses01F_impro03_M009,"Does that mean that you're going to get citizenship, too, in- in England or whatever?",3,neu
Session1,Ses01F_impro03,Ses01F_impro03_F010,Oh. I hadn't even thought about that.,2,hap
Session1,Ses01F_impro03,Ses01F_impro03_M011,Yeah. But he'll have like a long visa. Can you go visit then for a long time?,3,neu
Session1,Ses01F_impro03,Ses01F_impro03_F012,Oh. Totally.,2,hap
Session1,Ses01F_impro03,Ses01F_impro03_F013,I guess I'll- I guess I'll have an internet husband.[LAUGHTER],2,hap
Session1,Ses01F_impro03,Ses01F_impro03_M013,Like you need another one of those.[LAUGHTER],2,hap
Session1,Ses01F_impro03,Ses01F_impro03_M014,Is that your phone?,2,hap
Session1,Ses01F_impro03,Ses01F_impro03_F015,"Yeah, so [LAUGHTER] He's calling me now",2,exc
Session1,Ses01F_impro03,Ses01F_impro03_M015,He loves you.,2,hap
Session1,Ses01F_impro03,Ses01F_impro03_F016,"He likes to keep tabs, you know.",2,hap
Session1,Ses01F_impro03,Ses01F_impro03_M016,How much did he win at the slot?,3,neu
Session1,Ses01F_impro03,Ses01F_impro03_F017,"Uh, I think seven hundred and fifty dollars.",3,neu
Session1,Ses01F_impro03,Ses01F_impro03_F018,Penny slots. That's what he plays.,3,neu
Session1,Ses01F_impro03,Ses01F_impro03_F019,Yeah.,3,neu
Session1,Ses01F_impro03,Ses01F_impro03_M019,I'm a big fan of the Wheel of Fortune quarters. But it just costs so much. I don't know.,3,neu
Session1,Ses01F_impro03,Ses01F_impro03_F021,Yeah. We played Wheel of Fortune pennies. It's like a giant thing with like-,2,hap
Session1,Ses01F_impro03,Ses01F_impro03_M020,"But the pennies always get you because you end up spending like, you know, fifty bucks.",3,neu
Session1,Ses01F_impro03,Ses01F_impro03_F022,Fifty bucks. Mmhmm.,3,neu
Session1,Ses01F_impro03,Ses01F_impro03_M021,"like, wait, but it's just pennies. You're like, wait a minute I'm on to you.",3,neu
Session1,Ses01F_impro03,Ses01F_impro03_F023,Yeah.,3,neu
Session1,Ses01F_impro03,Ses01F_impro03_F024,Well so now we're married. We have cat children.,2,hap
Session1,Ses01F_impro03,Ses01F_impro03_M022,Awesome.,2,exc
Session1,Ses01F_impro03,Ses01F_impro03_M023,[LAUGHTER] Cat babies.,2,hap
Session1,Ses01F_impro03,Ses01F_impro03_F025,"We renamed Brenda, Lumber Janet.",2,hap
Session1,Ses01F_impro03,Ses01F_impro03_M024,That's fair enough.,3,neu
Session1,Ses01F_impro03,Ses01F_impro03_F026,She needs a new name each state that we go into. [LAUGHTER],2,hap
Session1,Ses01F_impro04,Ses01F_impro04_M000,"Have you tried, uh, Craig's List?",3,neu
Session1,Ses01F_impro04,Ses01F_impro04_F000,"Uh, what? Craig's List? Oh the internet thing?",3,neu
Session1,Ses01F_impro04,Ses01F_impro04_M001,Yeah.,3,neu
Session1,Ses01F_impro04,Ses01F_impro04_F001,I don't know. Isn't that-- that's all like escort services and things like that.,3,neu
Session1,Ses01F_impro04,Ses01F_impro04_M002,No. There's regular jobs on there.,3,neu
Session1,Ses01F_impro04,Ses01F_impro04_M003,Uh huh.,3,neu
Session1,Ses01F_impro04,Ses01F_impro04_M004,I'm just saying I have a friend that got a good job on it so I was just recommending it.,3,neu
Session1,Ses01F_impro04,Ses01F_impro04_M005,He's like a manager for a theatre.,3,neu
Session1,Ses01F_impro04,Ses01F_impro04_M006,He's like a house manager. Yeah. It's a good job.,3,neu
Session1,Ses01F_impro04,Ses01F_impro04_F005,He just...,3,neu
Session1,Ses01F_impro04,Ses01F_impro04_F006,you know what? I heard about that job. I applied for that.,3,neu
Session1,Ses01F_impro04,Ses01F_impro04_M007,You did?,3,neu
Session1,Ses01F_impro04,Ses01F_impro04_M008,Yeah.,3,neu
Session1,Ses01F_impro04,Ses01F_impro04_M009,You've been looking for a job for a long time; that was a long time ago. Right?,3,neu
Session1,Ses01F_impro04,Ses01F_impro04_F009,Yeah.,3,neu
Session1,Ses01F_impro04,Ses01F_impro04_M010,Hmm.,3,neu
Session1,Ses01F_impro04,Ses01F_impro04_M011,I don't know. He had a really good resume I guess and--,3,neu
Session1,Ses01F_impro04,Ses01F_impro04_M012,Yeah. Do you have a resume?,3,neu
Session1,Ses01F_impro04,Ses01F_impro04_M013,It's kind of helpful when getting a job.,3,neu
Session1,Ses01F_impro04,Ses01F_impro04_F013,I just- I mean I call people up and I tell them what I'm good at.,3,neu
Session1,Ses01F_impro04,Ses01F_impro04_M014,Well maybe we should sit down some time and you can just tell me all the stuff that you have done and I'll write it out.,3,neu
Session1,Ses01F_impro04,Ses01F_impro04_F014,Yeah.,3,neu
Session1,Ses01F_impro04,Ses01F_impro04_M015,"No. You can- or you can just bring it in person. But they need, generally, something to see, you know, what kind of what that you've done, what kind of--",3,neu
Session1,Ses01F_impro04,Ses01F_impro04_M016,"Yeah. But the piece of paper helps, too.",3,neu
Session1,Ses01F_impro04,Ses01F_impro04_M017,"No. But it has an outline, you know.",3,neu
Session1,Ses01F_impro04,Ses01F_impro04_M018,"I know. Okay. Well, um. Maybe--",3,neu
Session1,Ses01F_impro04,Ses01F_impro04_M019,Yeah.,3,neu
Session1,Ses01F_impro04,Ses01F_impro04_M020,"Okay, yeah. I would imagine.",3,neu
Session1,Ses01F_impro04,Ses01F_impro04_M021,"Well, sometimes you have to do things that you don't necessarily like to do to have a job. But the job affords you money, you won't have to be taking the bus right now.",3,neu
Session1,Ses01F_impro04,Ses01F_impro04_M022,maybe get a car.,3,neu
Session1,Ses01F_impro04,Ses01F_impro04_M023,"I just, you know, think you should try a little harder maybe.",3,neu
Session1,Ses01F_impro04,Ses01F_impro04_M024,I didn't say that.,3,neu
Session1,Ses01F_impro04,Ses01F_impro04_M025,"I am riding the bus, but by choice.",3,neu
Session1,Ses01F_impro04,Ses01F_impro04_M026,"To save the environment, carpool.",3,neu
Session1,Ses01F_impro04,Ses01F_impro04_M027,Yes. One less car at a time.,3,neu
Session1,Ses01F_impro04,Ses01F_impro04_M028,Mmhmm.,3,neu
Session1,Ses01F_impro04,Ses01F_impro04_F028,I'm not frustrated.,0,ang
Session1,Ses01F_impro04,Ses01F_impro04_F029,Who do you think you are?,0,ang
Session1,Ses01F_impro04,Ses01F_impro04_M031,I don't think I'm anyone.,3,neu
Session1,Ses01F_impro04,Ses01F_impro04_F030,You are so high and mighty. I just--,0,ang
Session1,Ses01F_impro04,Ses01F_impro04_M032,I- I-I didn't-- okay.,3,neu
Session1,Ses01F_impro04,Ses01F_impro04_F031,Oh. I'm saving the environment. I'm riding this car because I- I want to.,0,ang
Session1,Ses01F_impro04,Ses01F_impro04_F032,"The bus, I'm riding the bus because I want to.",0,ang
Session1,Ses01F_impro04,Ses01F_impro04_F033,I can not-- you are not here by choice. Nobody would ride this bus by choice.,0,ang
Session1,Ses01F_impro05,Ses01F_impro05_M000,Hi. Thanks for waiting.,3,neu
Session1,Ses01F_impro05,Ses01F_impro05_M001,Can I help you?,2,hap
Session1,Ses01F_impro05,Ses01F_impro05_M002,Uh huh.,2,hap
Session1,Ses01F_impro05,Ses01F_impro05_M003,Okay.,3,neu
Session1,Ses01F_impro05,Ses01F_impro05_M004,Okay.,3,neu
Session1,Ses01F_impro05,Ses01F_impro05_M005,Okay. Great. I'm really sorry that you had to do that. What's your last name? Let's start there.,3,neu
Session1,Ses01F_impro05,Ses01F_impro05_M006,Okay.,3,neu
Session1,Ses01F_impro05,Ses01F_impro05_M007,all right- okay. And you lost your bag? Is that- that the issue?,3,neu
Session1,Ses01F_impro05,Ses01F_impro05_F008,Flight seven fourteen.,0,ang
Session1,Ses01F_impro05,Ses01F_impro05_M008,Uh-huh.,3,neu
Session1,Ses01F_impro05,Ses01F_impro05_F009,"Am I going to be getting, like, free tickets, free mileage. When can I expect my bag here?",0,ang
Session1,Ses01F_impro05,Ses01F_impro05_M009,"Yeah. Yeah, I don't see- I don't see any--",3,neu
Session1,Ses01F_impro05,Ses01F_impro05_M010,"I don't see any record of it, and I-usually when I don't see a record of it, that means um-",3,neu
Session1,Ses01F_impro05,Ses01F_impro05_M011,"we've mistakenly lost your baggage. We're very sorry. On behalf of Jet Blue I would like to apologize for any inconvenience. I am allowed to issue you a fifty dollar gift card which you can use any future flights you want to take with us. I'm very sorry, once again...",3,neu
Session1,Ses01F_impro05,Ses01F_impro05_M012,"for such an inconvenience and your bag, but",3,neu
Session1,Ses01F_impro05,Ses01F_impro05_F011,Is this a joke?,0,ang
Session1,Ses01F_impro05,Ses01F_impro05_M013,Yeah.,3,neu
Session1,Ses01F_impro05,Ses01F_impro05_M014,"No, no.",3,neu
Session1,Ses01F_impro05,Ses01F_impro05_F012,"Are there candid cameras? Is this that movie? There's that show, right? Airplane, airline.",0,ang
Session1,Ses01F_impro05,Ses01F_impro05_M015,"No, no. This is real.",3,neu
Session1,Ses01F_impro05,Ses01F_impro05_M016,"No. I'm just giving you money, the bag is gone. If it's not here, I'm really sorry there is nothing I can do because...",3,neu
Session1,Ses01F_impro05,Ses01F_impro05_M017,this is the only track record that we have and if it's not listed here then it's probably not anywhere.,3,neu
Session1,Ses01F_impro05,Ses01F_impro05_F014,"You're kidding me, this is a joke.",0,ang
Session1,Ses01F_impro05,Ses01F_impro05_F015,Do you have any idea-- fifty dollars? That's supposed to replace everything that I have? Do you understand how much I have packed in there? Not only does it have sentimental value; it can't be replaced like that. It was incredibly expensive.,0,ang
Session1,Ses01F_impro05,Ses01F_impro05_M019,Yes.,3,neu
Session1,Ses01F_impro05,Ses01F_impro05_M020,I know.,3,neu
Session1,Ses01F_impro05,Ses01F_impro05_F016,We flew in from Paris. I've been shopping for three weeks.,0,ang
Session1,Ses01F_impro05,Ses01F_impro05_F017,I don't care what you're freaking sign says. Somebody- Somebody needs to replace everything I've got there and give me money for my inconvenience.,0,ang
Session1,Ses01F_impro05,Ses01F_impro05_M022,Okay. Calm-,3,neu
Session1,Ses01F_impro05,Ses01F_impro05_M023,"Actually, we are not necessarily liable to give you- to even give you this fifty dollars so... it's actually- it's actually really",3,neu
Session1,Ses01F_impro05,Ses01F_impro05_F018,Do you understand who my husband is?,0,ang
Session1,Ses01F_impro05,Ses01F_impro05_F019,"If you're- if you're- if you're looking for a lawsuit, baby, you've found it.",0,ang
Session1,Ses01F_impro05,Ses01F_impro05_M024,"We are actually not even allowed-- you know, like we don't have to give you this fifty dollars. We don't have to do that.",3,neu
Session1,Ses01F_impro05,Ses01F_impro05_F020,Oh-Oh. It's a gift. You're-You're helping me out here?,0,ang
Session1,Ses01F_impro05,Ses01F_impro05_M025,It's a gift.,3,neu
Session1,Ses01F_impro05,Ses01F_impro05_M026,"You know, the airlines can not be held responsible for every bag of luggage that comes through here.",3,neu
Session1,Ses01F_impro05,Ses01F_impro05_F021,You are cruising for a bruising. You are in so much trouble.,0,ang
Session1,Ses01F_impro05,Ses01F_impro05_M027,With the amount of--,3,neu
Session1,Ses01F_impro05,Ses01F_impro05_F022,Who's in charge? Who is the president of Jet Blue?,0,ang
Session1,Ses01F_impro05,Ses01F_impro05_M028,"Um, actually, I don't know. I don't know. Oh really?",3,neu
Session1,Ses01F_impro05,Ses01F_impro05_F023,Because I probably know him.,0,ang
Session1,Ses01F_impro05,Ses01F_impro05_F024,Yeah.,0,ang
Session1,Ses01F_impro05,Ses01F_impro05_M029,Well then maybe you can just call him and he can give you more money. But right now all I can do--,3,neu
Session1,Ses01F_impro05,Ses01F_impro05_F025,"I don't want money, I want my clothes.",0,ang
Session1,Ses01F_impro05,Ses01F_impro05_M030,"Right now all I can do is just give you this fifty dollars, I'm really sorry.",3,neu
Session1,Ses01F_impro05,Ses01F_impro05_F026,What's your name?,0,ang
Session1,Ses01F_impro05,Ses01F_impro05_M031,Oh. My name is Sean. Hi.,3,neu
Session1,Ses01F_impro05,Ses01F_impro05_F028,Okay. I'll do that.,0,ang
Session1,Ses01F_impro05,Ses01F_impro05_F029,I don't think you have done everything you could do because I don't have my bag here yet.,0,ang
Session1,Ses01F_impro05,Ses01F_impro05_M034,"If you want, you can write a letter. I can give you the address. Yes. An angry--",3,neu
Session1,Ses01F_impro05,Ses01F_impro05_F030,A letter? I'll make a personal phone call.,0,ang
Session1,Ses01F_impro05,Ses01F_impro05_M035,"Or you can make a phone call. But I think a letter might be a little more-- in my impression, letters have more...",3,neu
Session1,Ses01F_impro06,Ses01F_impro06_M000,"I'm sorry, Joy.",1,sad
Session1,Ses01F_impro06,Ses01F_impro06_M001,Is there anything I can get you? Do you want me to take care of anything for you or...?,3,neu
Session1,Ses01F_impro06,Ses01F_impro06_M002,...pick up anything?,3,neu
Session1,Ses01F_impro06,Ses01F_impro06_F002,No.,1,sad
Session1,Ses01F_impro06,Ses01F_impro06_M003,You know you are welcome to stay at my house if you want to just check out for a couple days and hang out.,1,sad
Session1,Ses01F_impro06,Ses01F_impro06_F003,That's sweet.,3,neu
Session1,Ses01F_impro06,Ses01F_impro06_F004,Thank you.,3,neu
Session1,Ses01F_impro06,Ses01F_impro06_F005,I went to see her headstone a week or two ago.,1,sad
Session1,Ses01F_impro06,Ses01F_impro06_F006,"I used to go to cemeteries a lot before she died. I just, you know, I felt like they were urban oasis, you know, there is always this green in the city.",1,sad
Session1,Ses01F_impro06,Ses01F_impro06_M004,Hmm.,3,neu
Session1,Ses01F_impro06,Ses01F_impro06_F007,So I was like wandering around before. It takes forever to find her headstone; I always lose it. You know.,1,sad
Session1,Ses01F_impro06,Ses01F_impro06_F008,So I was looking at this other one and there was like a piece of candy there and I thought that I would take the candy and put it on her headstone. And-,1,sad
Session1,Ses01F_impro06,Ses01F_impro06_F009,"this woman came up and, you know, it was hers. It was her person that was there.",3,neu
Session1,Ses01F_impro06,Ses01F_impro06_M005,Oh. She was there?,3,neu
Session1,Ses01F_impro06,Ses01F_impro06_F010,"Yeah. And she was like, that's pathetic, I hope you enjoy it.",1,sad
Session1,Ses01F_impro06,Ses01F_impro06_F011,"And I, you know, I mean, I said I was sorry and I brought it back to her kind of and I like put it on the ground and she was like, no, it's fine. She was like, I would rather have her back, honestly.",1,sad
Session1,Ses01F_impro06,Ses01F_impro06_M006,Mmhmm.,3,neu
Session1,Ses01F_impro06,Ses01F_impro06_F012,"I don't know. It just, like, I felt so bad because I shouldn't have done it. I don't know. Whatever.",1,sad
Session1,Ses01F_impro06,Ses01F_impro06_M007,Yeah.,1,sad
Session1,Ses01F_impro06,Ses01F_impro06_F013,I don't know.,1,sad
Session1,Ses01F_impro06,Ses01F_impro06_M008,How long were you there for?,3,neu
Session1,Ses01F_impro06,Ses01F_impro06_F014,At the cemetery?,1,sad
Session1,Ses01F_impro06,Ses01F_impro06_M009,Mmhmm.,3,neu
Session1,Ses01F_impro06,Ses01F_impro06_F015,couple hours.,1,sad
Session1,Ses01F_impro06,Ses01F_impro06_F016,"I brought- I brought Chuck with me. He went to Redlands, yeah, for the day. We ran through the sprinklers.",3,neu
Session1,Ses01F_impro06,Ses01F_impro06_M010,Oh really?,3,neu
Session1,Ses01F_impro06,Ses01F_impro06_M011,You ran through the sprinklers in the cemetery?,3,neu
Session1,Ses01F_impro06,Ses01F_impro06_M012,Is it a big cemetery?,3,neu
Session1,Ses01F_impro06,Ses01F_impro06_F018,Yeah. It's huge. Redlands is an old city so they have lots and lots of stones.,3,neu
Session1,Ses01F_impro06,Ses01F_impro06_M013,"Oh, so they're like really old too, really old ones?",3,neu
Session1,Ses01F_impro06,Ses01F_impro06_F019,Yeah.,3,neu
Session1,Ses01F_impro06,Ses01F_impro06_F020,"It's weird. Whenever I go back to town, I think of her. I mean, it's like ... I mean we grew up together and she died when we were twenty one. And yeah. She had cancer, she had two brain tumors.",1,sad
Session1,Ses01F_impro06,Ses01F_impro06_F021,"My best friend Heather. She's got a- we have a- we built this like little-- There's a park, Prospect Park. And there is like a garden section of it that we set up for her.",1,sad
Session1,Ses01F_impro06,Ses01F_impro06_F022,She used to have these poetry parties on Memorial Day.,1,sad
Session1,Ses01F_impro06,Ses01F_impro06_M014,Mmhmm.,3,neu
Session1,Ses01F_impro06,Ses01F_impro06_F023,Umm. Yeah.,1,sad
Session1,Ses01F_impro06,Ses01F_impro06_F024,"And the last time before she died, I remember she couldn't really stand, umm...",1,sad
Session1,Ses01F_impro06,Ses01F_impro06_F025,"But I mean she could, but it was- so it was kind of sitting at her feet holding her up and she had these poems she had memorized. And I remember looking up, she had curly red hair and there was this palm tree right behind her and it was like a crown growing right out of her head. It was cool.",1,sad
Session1,Ses01F_impro06,Ses01F_impro06_M015,Mmhmm.,3,neu
Session1,Ses01F_impro06,Ses01F_impro06_F026,"Some, I guess. She memorized this one, John Dunn, it's called, Death Be Not Proud. and-",1,sad
Session1,Ses01F_impro06,Ses01F_impro06_M016,So she wrote a lot of poetry?,3,neu
Session1,Ses01F_impro06,Ses01F_impro06_F027,"There's another one, I can't remember.",3,neu
Session1,Ses01F_impro06,Ses01F_impro06_F028,"I remember, too, when we were-- she died at U.C.L.A. She had brain surgery and there was not much hope to begin with, but I gave blood for her surgery, her mom and I before, so we dropped her off in the waiting room and then we were giving blood and came back. And she, in her wheelchair, like can hardly do anything, reciting her poetry for these people like in the waiting room. All she needs is a God damn audience. You know?",1,sad
Session1,Ses01F_impro07,Ses01F_impro07_M000,Did you get the letter?,2,exc
Session1,Ses01F_impro07,Ses01F_impro07_F000,"Yes. There's a big envelope it says, you're in. I know.",2,exc
Session1,Ses01F_impro07,Ses01F_impro07_M001,Yeah. That is so awesome.,2,exc
Session1,Ses01F_impro07,Ses01F_impro07_M002,Oh my God. What are you going to do? [LAUGHTER],2,exc
Session1,Ses01F_impro07,Ses01F_impro07_M003,"Oh-Yeah, I bet you're really excited. Oh. That's what loans are for? Right? Exactly.",2,exc
Session1,Ses01F_impro07,Ses01F_impro07_F002,"I'm really excited. Yeah. I don't know how I'm going to pay for anything, but... I also- Yeah. Loans, too, yeah. I applied, though, for a bunch of grants and scholarships so I'm still waiting to hear on that.",2,exc
Session1,Ses01F_impro07,Ses01F_impro07_M004,"Oh. Good, good. That's awesome. Are you going to stay around here? Or are you going to like get a different neighborhood- you going to move to a different neighborhood?",2,exc
Session1,Ses01F_impro07,Ses01F_impro07_F003,"Oh- I know, I know, I know, I know.",2,exc
Session1,Ses01F_impro07,Ses01F_impro07_F004,"I don't know. I spend so much time commuting as it is, I'd rather.",2,exc
Session1,Ses01F_impro07,Ses01F_impro07_M005,This is so- I am so happy that you're going to stay. You're not going to...We should totally throw a party.,2,exc
Session1,Ses01F_impro07,Ses01F_impro07_F005,I know. We should throw a party.,2,exc
Session1,Ses01F_impro07,Ses01F_impro07_M006,A rapper party ho. Yeah. Okay.,2,exc
Session1,Ses01F_impro07,Ses01F_impro07_M007,"I am just- Yeah. I'm sticking around, I'm just doing my thing. I'm living here. I'm so glad you're going to stay, I'm so glad you're going to be here. Yeah. Woo.",2,exc
Session1,Ses01F_impro07,Ses01F_impro07_M008,Yeah. Big time.,2,exc
Session1,Ses01F_impro07,Ses01F_impro07_M009,Mmhmm. Mmhmm. Yay. So what major? What are you doing?,2,exc
Session1,Ses01F_impro07,Ses01F_impro07_F009,Yeah. I'm not sure.,2,exc
Session1,Ses01F_impro07,Ses01F_impro07_M012,Is this a Masters or a P.h.D.? Or can you...? Nice,3,neu
Session1,Ses01F_impro07,Ses01F_impro07_F010,Umm...P.h.D. [LAUGHTER],2,exc
Session1,Ses01F_impro07,Ses01F_impro07_M013,"That's good. Don't you have to like teach a class, too, when you do that?",3,neu
Session1,Ses01F_impro07,Ses01F_impro07_M014,"Teacher. Mrs. Nash, I have a question.",2,exc
Session1,Ses01F_impro07,Ses01F_impro07_F012,So I get to mold young minds. Mrs.? That's my mother.,2,exc
Session1,Ses01F_impro07,Ses01F_impro07_M015,You have to get married. Well you are married to Chuck. You're Mrs. Nash. Not to be confused with Mrs. Dash which is the popular seasoning.,2,exc
Session1,Ses01F_impro07,Ses01F_impro07_F013,"I would be like- Oh. Right, right, right.",2,exc
Session1,Ses01F_impro07,Ses01F_impro07_M017,Yay...School's fun.,2,exc
Session1,Ses01F_impro07,Ses01F_impro07_M018,"Of course, right. That's where the real money is, being a student.",3,neu
Session1,Ses01F_impro07,Ses01F_impro07_M019,That's how you get the big bucks. Are you messing with the chair? Don't ruin it.,2,hap
Session1,Ses01F_impro07,Ses01F_impro07_F016,"I know. I made such a mess of it, the entire time. The last three things I've done, I've ruined everything, I think. Mm-hmm. Yeah.",2,exc
Session1,Ses01F_script01_1,Ses01F_script01_1_M000,He saw it.,3,neu
Session1,Ses01F_script01_1,Ses01F_script01_1_M001,He was out here when it broke.,3,neu
Session1,Ses01F_script01_1,Ses01F_script01_1_M002,Four o clock this morning. I heard a crack and I woke up and looked out. He was standing right over there when it cracked.,3,neu
Session1,Ses01F_script01_1,Ses01F_script01_1_M003,I don't know.,3,neu
Session1,Ses01F_script01_1,Ses01F_script01_1_F005,"He's dreaming of him again, walking around.",3,neu
Session1,Ses01F_script01_1,Ses01F_script01_1_M004,I guess he is.,3,neu
Session1,Ses01F_script01_1,Ses01F_script01_1_M007,You know Larry is not coming back and I know it. Why do we allow him to go on thinking that we believe with him?,3,neu
Session1,Ses01F_script01_1,Ses01F_script01_1_M010,We've got to say it to him.,3,neu
Session1,Ses01F_script01_1,Ses01F_script01_1_M012,"Sit down, Mom. I want to talk to you.",3,neu
Session1,Ses01F_script01_1,Ses01F_script01_1_M014,You know.,3,neu
Session1,Ses01F_script01_1,Ses01F_script01_1_F015,"Well I got an idea, but what's your story?",3,neu
Session1,Ses01F_script01_1,Ses01F_script01_1_M015,I'm going to ask her to marry me.,3,neu
Session1,Ses01F_script01_1,Ses01F_script01_1_M016,You know it's not just my business.,3,neu
Session1,Ses01F_script01_1,Ses01F_script01_1_M017,"So all right then, I'll just go ahead with it?",3,neu
Session1,Ses01F_script01_1,Ses01F_script01_1_M019,"You know sometimes you infuriate me. you know that? Isn't it your business if I tell father and he throws a fit about it? God, you have such a talent for ignoring things.",0,ang
Session1,Ses01F_script01_1,Ses01F_script01_1_M023,I wanted to get this settled first.,3,neu
Session1,Ses01F_script01_1,Ses01F_script01_1_M024,"Well if she does, then that's it. That's the end of it. From her letters, though, I think she's pretty much forgotten him.",3,neu
Session1,Ses01F_script01_1,Ses01F_script01_1_M025,And then we'll thrash it out with father. Okay Mom? Don't avoid me.,3,neu
Session1,Ses01F_script01_1,Ses01F_script01_1_F034,Just give it some more thought.,3,neu
Session1,Ses01F_script01_1,Ses01F_script01_1_F035,What the hell is this?,0,ang
Session1,Ses01F_script01_1,Ses01F_script01_1_M034,"I'll get out. I'll get married and I'll move somewhere else, maybe New York.",3,neu
Session1,Ses01F_script01_1,Ses01F_script01_1_F037,You have a business here. What the hell is this?,0,ang
Session1,Ses01F_script01_1,Ses01F_script01_1_F038,Oh. Must you be inspired?,0,ang
Session1,Ses01F_script01_1,Ses01F_script01_1_M039,"On this, I would.",3,neu
Session1,Ses01F_script01_1,Ses01F_script01_1_M040,Then help me stay here.,3,neu
